timestamp,elapsed_time,pt_o1_3,pt_o2_2,pt_p1_6,pt_f2_4,pt_f1_5,pt_f2_4_engine,lc_1,lc_2,lc_3,lc_4,tc_1,rvv_o,mpv_p,rvv_f,dot_oxidizer,mpf_f,oxidizer_engine,armed,error
1744733113423,0.08193802833557129,410.85076904296875,429.11090087890625,901.6915283203125,395.47430419921875,434.2439270019531,350.1262512207031,2881.503662109375,2967.736083984375,949.1043090820312,892.3997192382812,30.0,0,0,0,0,0,0,0,0
1744733113524,0.1828305721282959,410.42034912109375,427.93157958984375,905.7420043945312,394.6147766113281,427.34967041015625,355.3081359863281,2892.73974609375,2956.124755859375,946.4838256835938,895.0299072265625,30.0,0,0,0,0,0,0,0,0
1744733113624,0.2836184501647949,412.84503173828125,434.3599548339844,908.111328125,388.68798828125,434.6668395996094,344.8802795410156,2913.404296875,2962.608154296875,949.576904296875,907.759033203125,30.0,0,0,0,0,0,0,0,0
1744733113725,0.38419294357299805,406.7907409667969,425.17242431640625,904.9660034179688,389.7209167480469,427.6871643066406,347.1731872558594,2915.619140625,2933.35595703125,952.2813720703125,901.5278930664062,30.0,0,0,0,0,0,0,0,0
1744733113826,0.48488759994506836,407.1395263671875,430.7963562011719,906.9549560546875,394.8714294433594,429.38323974609375,340.0453186035156,2908.335205078125,2965.497802734375,951.6851806640625,898.051513671875,30.0,0,0,0,0,0,0,0,0
1744733113926,0.5857193470001221,408.9160461425781,424.78448486328125,909.289306640625,393.01263427734375,419.9973449707031,330.74432373046875,2898.010498046875,2963.938232421875,947.3648071289062,904.0438842773438,30.0,0,0,0,0,0,0,0,0
1744733114028,0.6870179176330566,413.0045471191406,418.8270568847656,907.4192504882812,383.4793395996094,425.1223449707031,329.7567443847656,2915.44091796875,2949.906494140625,953.1707763671875,894.650634765625,30.0,0,0,0,0,0,0,0,0
1744733114127,0.7865335941314697,412.9465637207031,418.3495788574219,907.5442504882812,386.28094482421875,420.7928466796875,324.10491943359375,2883.25634765625,2958.954833984375,955.1222534179688,909.2998046875,30.0,0,0,0,0,0,0,0,0
1744733114228,0.8870270252227783,413.11627197265625,424.92315673828125,905.5231323242188,390.5815734863281,414.9902038574219,313.42913818359375,2896.07763671875,2933.21923828125,951.7745971679688,895.7911987304688,30.0,0,0,0,0,0,0,0,0
1744733114329,0.9878287315368652,405.814697265625,420.2295837402344,907.30908203125,387.3630676269531,410.5428466796875,313.3467102050781,2908.083984375,2961.173828125,940.0723876953125,904.4901123046875,30.0,0,0,0,0,0,0,0,0
1744733114429,1.087923526763916,409.2463684082031,416.76654052734375,908.5833129882812,381.0135192871094,408.619873046875,303.02532958984375,2909.853515625,2934.664306640625,952.963623046875,906.71875,30.0,0,0,0,0,0,0,0,0
1744733114531,1.1907122135162354,414.4570007324219,418.75579833984375,914.7015380859375,390.1903381347656,411.43682861328125,297.3885498046875,2914.525390625,2946.800537109375,952.7533569335938,902.6695556640625,30.0,0,0,0,0,0,0,0,0
1744733114630,1.2889232635498047,410.2340393066406,411.6804504394531,916.7183837890625,383.2159729003906,412.15008544921875,292.45916748046875,2913.828369140625,2958.548583984375,944.92724609375,900.6674194335938,30.0,0,0,0,0,0,0,0,0
1744733114730,1.3895514011383057,413.25213623046875,419.1865539550781,910.0051879882812,385.3836364746094,404.47772216796875,286.5755615234375,2893.8984375,2931.54833984375,941.803466796875,904.8761596679688,30.0,0,0,0,0,0,0,0,0
1744733114831,1.490626573562622,416.77032470703125,414.099853515625,918.5802001953125,381.30755615234375,409.5299072265625,280.75006103515625,2902.985595703125,2967.319580078125,949.5241088867188,890.0578002929688,30.0,0,0,0,0,0,0,0,0
1744733114932,1.591567039489746,415.3238220214844,414.1524963378906,916.9630737304688,383.2810974121094,407.0211486816406,274.9002685546875,2904.620361328125,2956.645751953125,943.2944946289062,906.7286376953125,30.0,0,0,0,0,0,0,0,0
1744733115039,1.6981220245361328,409.72210693359375,412.23297119140625,915.544189453125,389.1340637207031,402.0397644042969,264.57684326171875,2907.6474609375,2960.956298828125,943.6205444335938,890.2613525390625,30.0,0,0,0,0,0,0,0,0
1744733115135,1.7938928604125977,410.44989013671875,414.64971923828125,921.9369506835938,384.9261169433594,397.87835693359375,258.4244079589844,2881.244384765625,2953.060791015625,941.95947265625,908.7252807617188,30.0,0,0,0,0,0,0,0,0
1744733115236,1.8948075771331787,411.9598388671875,419.7740173339844,922.2592163085938,386.12322998046875,404.8614196777344,257.38409423828125,2915.751220703125,2958.70458984375,957.9430541992188,892.1831665039062,30.0,0,0,0,0,0,0,0,0
1744733115337,1.9960131645202637,412.0296630859375,415.2406005859375,921.6991577148438,385.56402587890625,400.34259033203125,254.649658203125,2894.551513671875,2955.11865234375,951.6826171875,899.048828125,30.0,0,0,0,0,0,0,0,0
1744733115437,2.0967085361480713,421.0381774902344,411.9607849121094,922.2998657226562,388.0065002441406,403.5284118652344,252.66603088378906,2904.146484375,2963.322998046875,955.5704956054688,908.3798828125,30.0,0,0,0,0,0,0,0,0
1744733115538,2.1969709396362305,418.4029846191406,420.24688720703125,928.466064453125,389.2572021484375,400.35797119140625,245.52862548828125,2894.292724609375,2967.32080078125,943.8062744140625,890.1188354492188,30.0,0,0,0,0,0,0,0,0
1744733115639,2.2981455326080322,419.7087707519531,416.6259460449219,925.6981201171875,386.4454345703125,399.66900634765625,238.89024353027344,2906.21875,2939.926513671875,959.7262573242188,894.2186889648438,30.0,0,0,0,0,0,0,0,0
1744733115739,2.398451328277588,422.33154296875,419.7744140625,929.3763427734375,396.3531188964844,400.8936767578125,240.21990966796875,2905.867431640625,2934.57861328125,941.822021484375,901.6729125976562,30.0,0,0,0,0,0,0,0,0
1744733115841,2.500300168991089,422.4581604003906,414.48681640625,927.3582763671875,390.5186767578125,398.84539794921875,236.29908752441406,2906.545166015625,2952.330810546875,957.3712768554688,895.5758056640625,30.0,0,0,0,0,0,0,0,0
1744733115942,2.6009180545806885,420.1910400390625,421.5843200683594,927.9727783203125,398.0751037597656,397.0802001953125,241.9830322265625,2887.62841796875,2953.370361328125,955.04345703125,900.8275756835938,30.0,0,0,0,0,0,0,0,0
1744733116042,2.7015209197998047,430.7434387207031,421.093505859375,930.115234375,391.48291015625,397.8720397949219,243.94769287109375,2905.950439453125,2937.44677734375,957.4400634765625,905.2998046875,30.0,0,0,0,0,0,0,0,0
1744733116143,2.8025104999542236,430.61273193359375,427.0428161621094,931.6300659179688,395.8324279785156,404.4851989746094,239.5447540283203,2900.76513671875,2940.568115234375,946.3072509765625,905.406494140625,30.0,0,0,0,0,0,0,0,0
1744733116244,2.9032585620880127,424.88140869140625,427.95709228515625,933.0169067382812,394.422607421875,400.8750305175781,241.22308349609375,2880.92431640625,2944.11474609375,950.1377563476562,900.1113891601562,30.0,0,0,0,0,0,0,0,0
1744733116345,3.0039451122283936,432.429931640625,429.188720703125,938.66064453125,398.9656982421875,408.4639587402344,243.70635986328125,2913.670166015625,2947.046630859375,954.6723022460938,899.1905517578125,30.0,0,0,0,0,0,0,0,0
1744733116445,3.1040754318237305,434.0926818847656,431.83953857421875,936.3131713867188,406.8312683105469,403.5683288574219,246.1344451904297,2896.24462890625,2952.901611328125,958.727294921875,901.3770141601562,30.0,0,0,0,0,0,0,0,0
1744733116545,3.2045695781707764,434.8803405761719,430.5984802246094,937.2364501953125,404.0096130371094,408.967529296875,258.6913757324219,2900.580810546875,2968.277587890625,954.05712890625,893.2926635742188,30.0,0,0,0,0,0,0,0,0
